Element,Transition,Theoretical_eV,Experimental_eV
Br,L 1 M 3,1600.0,1596.3
Br,L 1 M 4,1711.9,
Br,L 1 M 5,1713.0,
Br,L 1 N 1,1767.8,
Br,L 1 N 2,1779.5,
Br,L 1 N 3,1778.79,
Br,L 1 edge,1791.81,1781.6
Br,L 2 M 1,1340.9,1339.63
Br,L 2 M 2,1407.2,
Br,L 2 M 3,1414.4,
Br,L 2 M 4,1526.28,1525.92
Br,L 2 M 5,1527.35,
Br,L 2 N 1,1582.1,
Br,L 2 N 2,1593.81,
Br,L 2 N 3,1593.15,
Br,L 2 edge,1606.17,1599.2
Br,L 3 M 1,1294.5,1293.50
Br,L 3 M 2,1360.8,
Br,L 3 M 3,1368.1,
Br,L 3 M 4,1479.95,1480.46
Br,L 3 M 5,1481.02,1480.46
Br,L 3 N 1,1535.8,
Br,L 3 N 2,1547.49,
Br,L 3 N 3,1546.82,
Br,L 3 edge,1559.84,1552.9
Kr,KL 1,12402.57,
Kr,KL 2,12595.58,12595.424
Kr,KL 3,12648.00,12648.002
Kr,KM 1,14034.9,
Kr,KM 2,14105.7,14104.96
Kr,KM 3,14113.3,14112.815
Kr,KM 4,14232.63,14237.7
Kr,KM 5,14233.88,14237.7
Kr,KN 1,14301.2,
Kr,KN 2,14313.43,14315.0
Kr,KN 3,14314.10,14315.0
Kr,KN 4,14328.2,1
Kr,KN 5,14328.2,1
Kr,K edge,14328.06,14324.61
Kr,L 1 M 1,1632.4,
Kr,L 1 M 2,1703.1,1697.5
Kr,L 1 M 3,1710.7,1706.8
Kr,L 1 M 4,1830.1,
Kr,L 1 M 5,1831.3,
Kr,L 1 N 1,1898.7,
Kr,L 1 N 2,1910.9,
Kr,L 1 N 3,1911.5,
Kr,L 1 edge,1925.49,1916.3
Kr,L 2 M 1,1439.4,
Kr,L 2 M 2,1510.1,
Kr,L 2 M 3,1517.7,
Kr,L 2 M 4,1637.05,1636.876
Kr,L 2 M 5,1638.30,
Kr,L 2 N 1,1705.7,1703.3
Kr,L 2 N 2,1717.86,
Kr,L 2 N 3,1718.52,
Kr,L 2 edge,1732.49,1729.66
Kr,L 3 M 1,1386.9,
Kr,L 3 M 2,1457.7,
Kr,L 3 M 3,1465.3,
Kr,L 3 M 4,1584.63,1585.411
Kr,L 3 M 5,1585.88,1585.411
Kr,L 3 N 1,1653.2,1650.9
Kr,L 3 N 2,1665.43,
Kr,L 3 N 3,1666.09,
Kr,L 3 edge,1680.06,1677.25
Rb,KL 1,13135.18,
Rb,KL 2,13335.75,13335.88
Rb,KL 3,13395.05,13395.49
Rb,KM 1,14878.6,
Rb,KM 2,14952.7,14951.86
Rb,KM 3,14961.6,14961.42
Rb,KM 4,15088.21,15084.8
Rb,KM 5,15089.65,15084.8
Rb,KN 1,15166.8,
Rb,KN 2,15185.59,15185.54
Rb,KN 3,15186.55,15185.54
Rb,KN 4,15205.1,1
Rb,KN 5,15205.1,1
Rb,K edge,15207.74,15202.5
Rb,L 1 M 1,1743.4,
Rb,L 1 M 2,1817.6,1817.74
Rb,L 1 M 3,1826.4,1826.60
Rb,L 1 M 4,1953.0,
Rb,L 1 M 5,1954.5,
Rb,L 1 N 1,2031.6,
Rb,L 1 N 2,2050.4,2050.72
Rb,L 1 N 3,2051.4,2050.72
Rb,L 1 edge,2072.55,2063.6
Rb,L 2 M 1,1542.9,1541.78
Rb,L 2 M 2,1617.0,
Rb,L 2 M 3,1625.9,
Rb,L 2 M 4,1752.46,1752.18
Rb,L 2 M 5,1753.90,
Rb,L 2 N 1,1831.0,1835.33
Rb,L 2 N 2,1849.84,
Rb,L 2 N 3,1850.79,
Rb,L 2 edge,1871.98,1866.08
Rb,L 3 M 1,1483.6,1482.40
Rb,L 3 M 2,1557.7,
Rb,L 3 M 3,1566.6,
Rb,L 3 M 4,1693.16,1692.57
Rb,L 3 M 5,1694.60,1694.141
Rb,L 3 N 1,1771.7,1775.18
Rb,L 3 N 2,1790.54,
Rb,L 3 N 3,1791.50,
Rb,L 3 edge,1812.69,1806.80
Sr,KL 1,13889.75,
Sr,KL 2,14098.01,14098.03
Sr,KL 3,14164.80,14165.20
Sr,KM 1,15748.1,
Sr,KM 2,15826.2,15825.17
Sr,KM 3,15836.3,15835.89
Sr,KM 4,15970.20,15968.9
Sr,KM 5,15971.90,15968.9
Sr,KN 1,16068.8,
Sr,KN 2,16085.68,16084.68
Sr,KN 3,16086.84,16084.68
Sr,KN 4,16103.9,1
Sr,KN 5,16103.9,1
Sr,K edge,16115.26,16107.2
Sr,L 1 M 1,1858.4,
Sr,L 1 M 2,1936.4,1936.44
Sr,L 1 M 3,1946.6,1947.20
Sr,L 1 M 4,2080.5,
Sr,L 1 M 5,2082.2,
Sr,L 1 N 1,2179.0,
Sr,L 1 N 2,2195.9,2196.52
Sr,L 1 N 3,2197.1,2196.52
Sr,L 1 edge,2225.51,2217.1
Sr,L 2 M 1,1650.1,1649.337
Sr,L 2 M 2,1728.1,
Sr,L 2 M 3,1738.3,
Sr,L 2 M 4,1872.19,1871.74
Sr,L 2 M 5,1873.88,
Sr,L 2 N 1,1970.7,1969.19
Sr,L 2 N 2,1987.67,
Sr,L 2 N 3,1988.82,
Sr,L 2 edge,2017.25,2008.46
Sr,L 3 M 1,1583.3,1582.174
Sr,L 3 M 2,1661.4,
Sr,L 3 M 3,1671.5,
Sr,L 3 M 4,1805.40,1804.77
Sr,L 3 M 5,1807.10,1806.585
